Adult Stages/Adult Hypnogram (973 events)						
						
-------------------------------------------------------------------------------------						
#	Segment	Epoch	Start Time (s)	Duration (s)	Interval (s)	Event
"119, "	"1, "	"119, "	"3555.000,"	"1.000,"	"30.000,"	3
"120, "	"1, "	"120, "	"3585.000,"	"1.000,"	"30.000,"	3
"121, "	"1, "	"121, "	"3615.000,"	"1.000,"	"30.000,"	3
"122, "	"1, "	"122, "	"3645.000,"	"1.000,"	"30.000,"	3
"123, "	"1, "	"123, "	"3675.000,"	"1.000,"	"30.000,"	3
"124, "	"1, "	"124, "	"3705.000,"	"1.000,"	"30.000,"	3
"125, "	"1, "	"125, "	"3735.000,"	"1.000,"	"30.000,"	3
"126, "	"1, "	"126, "	"3765.000,"	"1.000,"	"30.000,"	3
"127, "	"1, "	"127, "	"3795.000,"	"1.000,"	"30.000,"	3
"128, "	"1, "	"128, "	"3825.000,"	"1.000,"	"30.000,"	3
"129, "	"1, "	"129, "	"3855.000,"	"1.000,"	"30.000,"	3
"130, "	"1, "	"130, "	"3885.000,"	"1.000,"	"30.000,"	3
"131, "	"1, "	"131, "	"3915.000,"	"1.000,"	"30.000,"	3
"132, "	"1, "	"132, "	"3945.000,"	"1.000,"	"30.000,"	3
"133, "	"1, "	"133, "	"3975.000,"	"1.000,"	"30.000,"	3
"134, "	"1, "	"134, "	"4005.000,"	"1.000,"	"30.000,"	3
"135, "	"1, "	"135, "	"4035.000,"	"1.000,"	"30.000,"	3
"136, "	"1, "	"136, "	"4065.000,"	"1.000,"	"30.000,"	3
"137, "	"1, "	"137, "	"4095.000,"	"1.000,"	"30.000,"	2
"138, "	"1, "	"138, "	"4125.000,"	"1.000,"	"30.000,"	2
"139, "	"1, "	"139, "	"4155.000,"	"1.000,"	"30.000,"	2
"140, "	"1, "	"140, "	"4185.000,"	"1.000,"	"30.000,"	2
"141, "	"1, "	"141, "	"4215.000,"	"1.000,"	"30.000,"	2
"142, "	"1, "	"142, "	"4245.000,"	"1.000,"	"30.000,"	2
"143, "	"1, "	"143, "	"4275.000,"	"1.000,"	"30.000,"	2
"144, "	"1, "	"144, "	"4305.000,"	"1.000,"	"30.000,"	1
"145, "	"1, "	"145, "	"4335.000,"	"1.000,"	"30.000,"	1
"146, "	"1, "	"146, "	"4365.000,"	"1.000,"	"30.000,"	2
"147, "	"1, "	"147, "	"4395.000,"	"1.000,"	"30.000,"	2
"148, "	"1, "	"148, "	"4425.000,"	"1.000,"	"30.000,"	2
"149, "	"1, "	"149, "	"4455.000,"	"1.000,"	"30.000,"	2
"150, "	"1, "	"150, "	"4485.000,"	"1.000,"	"30.000,"	2
"151, "	"1, "	"151, "	"4515.000,"	"1.000,"	"30.000,"	2
"152, "	"1, "	"152, "	"4545.000,"	"1.000,"	"30.000,"	2
"153, "	"1, "	"153, "	"4575.000,"	"1.000,"	"30.000,"	2
"154, "	"1, "	"154, "	"4605.000,"	"1.000,"	"30.000,"	2
"155, "	"1, "	"155, "	"4635.000,"	"1.000,"	"30.000,"	2
"156, "	"1, "	"156, "	"4665.000,"	"1.000,"	"30.000,"	2
"157, "	"1, "	"157, "	"4695.000,"	"1.000,"	"30.000,"	2
"158, "	"1, "	"158, "	"4725.000,"	"1.000,"	"30.000,"	2
"159, "	"1, "	"159, "	"4755.000,"	"1.000,"	"30.000,"	3
"160, "	"1, "	"160, "	"4785.000,"	"1.000,"	"30.000,"	3
"161, "	"1, "	"161, "	"4815.000,"	"1.000,"	"30.000,"	3
"162, "	"1, "	"162, "	"4845.000,"	"1.000,"	"30.000,"	3
"163, "	"1, "	"163, "	"4875.000,"	"1.000,"	"30.000,"	3
"164, "	"1, "	"164, "	"4905.000,"	"1.000,"	"30.000,"	3
"165, "	"1, "	"165, "	"4935.000,"	"1.000,"	"30.000,"	3
"166, "	"1, "	"166, "	"4965.000,"	"1.000,"	"30.000,"	3
"167, "	"1, "	"167, "	"4995.000,"	"1.000,"	"30.000,"	3
"168, "	"1, "	"168, "	"5025.000,"	"1.000,"	"30.000,"	3
"169, "	"1, "	"169, "	"5055.000,"	"1.000,"	"30.000,"	3
"170, "	"1, "	"170, "	"5085.000,"	"1.000,"	"30.000,"	3
"171, "	"1, "	"171, "	"5115.000,"	"1.000,"	"30.000,"	3
"172, "	"1, "	"172, "	"5145.000,"	"1.000,"	"30.000,"	3
"173, "	"1, "	"173, "	"5175.000,"	"1.000,"	"30.000,"	3
"174, "	"1, "	"174, "	"5205.000,"	"1.000,"	"30.000,"	3
"175, "	"1, "	"175, "	"5235.000,"	"1.000,"	"30.000,"	3
"176, "	"1, "	"176, "	"5265.000,"	"1.000,"	"30.000,"	3
"177, "	"1, "	"177, "	"5295.000,"	"1.000,"	"30.000,"	3
"178, "	"1, "	"178, "	"5325.000,"	"1.000,"	"30.000,"	3
"179, "	"1, "	"179, "	"5355.000,"	"1.000,"	"30.000,"	3
"180, "	"1, "	"180, "	"5385.000,"	"1.000,"	"30.000,"	3
"181, "	"1, "	"181, "	"5415.000,"	"1.000,"	"30.000,"	3
"182, "	"1, "	"182, "	"5445.000,"	"1.000,"	"30.000,"	3
"183, "	"1, "	"183, "	"5475.000,"	"1.000,"	"30.000,"	3
"184, "	"1, "	"184, "	"5505.000,"	"1.000,"	"30.000,"	3
"185, "	"1, "	"185, "	"5535.000,"	"1.000,"	"30.000,"	3
"186, "	"1, "	"186, "	"5565.000,"	"1.000,"	"30.000,"	3
"187, "	"1, "	"187, "	"5595.000,"	"1.000,"	"30.000,"	3
"188, "	"1, "	"188, "	"5625.000,"	"1.000,"	"30.000,"	3
"189, "	"1, "	"189, "	"5655.000,"	"1.000,"	"30.000,"	3
"190, "	"1, "	"190, "	"5685.000,"	"1.000,"	"30.000,"	3
"191, "	"1, "	"191, "	"5715.000,"	"1.000,"	"30.000,"	3
"192, "	"1, "	"192, "	"5745.000,"	"1.000,"	"30.000,"	3
"193, "	"1, "	"193, "	"5775.000,"	"1.000,"	"30.000,"	3
"194, "	"1, "	"194, "	"5805.000,"	"1.000,"	"30.000,"	3
"195, "	"1, "	"195, "	"5835.000,"	"1.000,"	"30.000,"	3
"196, "	"1, "	"196, "	"5865.000,"	"1.000,"	"30.000,"	3
"197, "	"1, "	"197, "	"5895.000,"	"1.000,"	"30.000,"	3
"198, "	"1, "	"198, "	"5925.000,"	"1.000,"	"30.000,"	1
"199, "	"1, "	"199, "	"5955.000,"	"1.000,"	"30.000,"	1
"200, "	"1, "	"200, "	"5985.000,"	"1.000,"	"30.000,"	2
"201, "	"1, "	"201, "	"6015.000,"	"1.000,"	"30.000,"	2
"202, "	"1, "	"202, "	"6045.000,"	"1.000,"	"30.000,"	2
"203, "	"1, "	"203, "	"6075.000,"	"1.000,"	"30.000,"	2
"204, "	"1, "	"204, "	"6105.000,"	"1.000,"	"30.000,"	2
"205, "	"1, "	"205, "	"6135.000,"	"1.000,"	"30.000,"	2
"206, "	"1, "	"206, "	"6165.000,"	"1.000,"	"30.000,"	2
"207, "	"1, "	"207, "	"6195.000,"	"1.000,"	"30.000,"	2
"208, "	"1, "	"208, "	"6225.000,"	"1.000,"	"30.000,"	2
"209, "	"1, "	"209, "	"6255.000,"	"1.000,"	"30.000,"	1
"210, "	"1, "	"210, "	"6285.000,"	"1.000,"	"30.000,"	1
"211, "	"1, "	"211, "	"6315.000,"	"1.000,"	"30.000,"	1
"212, "	"1, "	"212, "	"6345.000,"	"1.000,"	"30.000,"	1
"213, "	"1, "	"213, "	"6375.000,"	"1.000,"	"30.000,"	1
"214, "	"1, "	"214, "	"6405.000,"	"1.000,"	"30.000,"	1
"215, "	"1, "	"215, "	"6435.000,"	"1.000,"	"30.000,"	2
"216, "	"1, "	"216, "	"6465.000,"	"1.000,"	"30.000,"	1
"217, "	"1, "	"217, "	"6495.000,"	"1.000,"	"30.000,"	1
"218, "	"1, "	"218, "	"6525.000,"	"1.000,"	"30.000,"	1
"219, "	"1, "	"219, "	"6555.000,"	"1.000,"	"30.000,"	1
